fips,state,county,brfss_id,landsqmi,areasqmi,totalpop2010,pctover62,pctmales,pctfemales,pctwhite1,pctblack1,pctindian1,pctasian1,pcthawnpi1,pctother1,avghhinc,avghhsocsec,pctpoort,pctpublictrans,pctbachelorsormore,pctbroadbandint,pctnointernet,pctnovehicles,sef_rank,ho_rank,hf_rank,pctuninsured,numofpcp,pctfluvacc,pctsomecollege,pctunemployed,lifeexpect,pctnohealthyfood,pctrural
29001," Missouri","Adair ",7,567.32,569.44,25607,16.6,48.2,51.8,91.2,3.4,0.2,2.4,0.2,0.3,55584,16874,26.4,0.1,30,83.1,16.5,7.7,68,67,23,10.6025,26,52,65.3216,3.51387,77.5315,9.10355,37.8529
29003," Missouri","Andrew ",6,432.7,436.43,17291,22.2,50.1,49.9,95.7,2,0.2,0.3,0.6,0.1,70526,18805,8.6,0,23.8,87.5,10.9,3.9,11,8,9,9.3614,2,49,63.1776,2.66391,79.6811,2.78436,61.2804
29005," Missouri","Atchison ",6,547.3,550.13,5685,29.7,49.6,50.4,97.7,0.4,0.5,0.4,0,0.3,60781,18037,10.2,0.2,22.5,88.7,11.1,5.7,3,12,10,11.998,2,45,61.5454,2.49008,78.2415,4.9145,100
29007," Missouri","Audrain ",3,692.23,696.82,25529,21.4,45.7,54.3,89.1,6.1,0.4,0.2,0.1,0.5,57969,18502,15.3,0,14.5,85.6,13.1,6.9,72,72,63,12.2977,13,30,46.0431,3.09145,75.8905,6.21122,41.1963
29009," Missouri","Barry ",4,778.25,790.97,35597,24,50.2,49.8,93.6,0.2,0.8,1.1,0,1.4,56640,18995,21,0.2,14.5,75.1,24.2,4.7,54,75,73,17.4748,23,35,47.0698,2.96947,75.9436,5.47576,73.2646
29011," Missouri","Barton ",4,591.92,596.72,12402,22.9,49.5,50.5,94.2,0.3,1.9,0,0.1,0.3,62378,16988,21.6,0.2,18.1,79.7,19,8.9,74,47,70,14.3737,4,36,52.4564,3.08821,78.6901,11.0391,63.9574
29013," Missouri","Bates ",1,836.69,851.38,17049,23.2,48.9,51.1,95.5,1.5,0.6,0.2,0,0.7,65596,19079,12.3,0.5,14.9,81.9,17,5,75,52,74,12.8179,4,30,50.1095,3.80653,76.0625,1.32024,77.2714
29015," Missouri","Benton ",4,704.06,752.55,19056,35.6,49.3,50.7,96.2,0.3,1.1,0.1,0.1,0.2,54881,20305,19.1,0.2,13.4,82.6,16.1,6.6,104,82,93,14.8794,5,37,52.1534,4.52191,75.6568,4.70773,86.5397
29017," Missouri","Bollinger ",5,617.91,621.2,12363,23.4,50,50,97.5,0.6,0.8,0.3,0,0,53616,17193,17,1,9.4,83.9,15,4.9,71,74,78,14.2403,1,39,44.3005,3.60131,75.9596,10.8626,100
29019," Missouri","Boone ",3,685.41,690.98,162642,14.5,48.6,51.4,81.1,8.8,0.3,4.5,0.1,1,73099,19566,18.3,1.1,46,88,11.6,6,9,10,5,10.0603,201,50,79.5325,2.27156,80.1816,8.40124,18.786
29021," Missouri","Buchanan ",6,408.03,414.66,89201,19,50.2,49.8,87.5,5.6,0.3,1,0.2,1.6,63587,18433,17.2,0.9,20.7,88.2,11.3,9.1,83,66,88,11.4934,57,53,57.1728,2.95939,76.3428,6.79865,13.372
29023," Missouri","Butler ",5,694.67,698.99,42794,21.7,48.7,51.3,90.7,5.7,0.5,0.6,0,0.2,53525,16443,21.8,1.1,13.8,84.8,14.9,7.8,106,106,107,12.8351,42,22,59.9901,4.5788,74.2779,7.92083,52.1825
29025," Missouri","Caldwell ",1,426.39,429.64,9424,23.8,50.7,49.3,96,0.5,0.7,0.5,0,0.3,58141,19195,14.9,0,18.3,86.8,12.4,7.1,27,42,46,12.4127,0,45,54.4703,3.13351,77.3902,8.06294,100
29027," Missouri","Callaway ",3,834.57,847.36,44332,19.8,51,49,91.8,4.3,0.5,0.9,0.5,0.3,65892,19264,11.6,0,22.2,83.7,15.6,5.2,46,23,32,10.6048,17,51,53.252,2.93072,77.8983,6.4107,62.0274
29029," Missouri","Camden ",3,655.92,708.64,44002,31.7,49.5,50.5,96.4,0.8,0.6,0.3,0,0.6,70165,21047,16,0.2,21.8,86.4,12.4,3.4,86,33,33,14.2538,35,35,50.4863,4.21466,79.3867,5.98896,74.2284
29031," Missouri","Cape Girardeau ",5,578.53,586.32,75674,19.4,48.4,51.6,87.7,7.5,0.2,1.6,0,0.3,68290,18726,17,0.5,30.5,90.6,8.7,6.3,19,44,14,10.3593,73,48,67.9106,2.75445,77.538,7.5127,30.5032
