name,streetaddress,city,zipcode,county
"CoxHealth - Cassville","75 Smithson Drive",Cassville,65625,"Barry "
"A.T. Still University (ATSU)","800 West Jefferson Street",Kirksville,63501,"Adair "
"A.T. Still University AHEC Program Office","800 West Jefferson Street",Kirksville,63501,"Adair "
"AARP Foundation Senior Community Service Employment Program","1 West Armour Boulevard","Kansas City",64111,"Clay "
"Abbey Senior Health","206 North Main Street",O'Fallon,63366,"St. Charles "
"Ability KC","1020 East 12th Street","Kansas City",64106,"Jackson "
"Abraham Mallinson Independent School District","709 North Forest Avenue","Sugar Creek",64054,"Jackson "
"Academie Lafayette","3421 Cherry Street","Kansas City",64109,"Jackson "
"Accent Dental St. Louis","1405 South Hanley","St. Louis",63144,"St. Louis city "
"Access Family Care - Anderson","927 North Business 71",Anderson,64831,"McDonald "
"Access Family Care - Anderson (Dental)","927 N. Hwy 71 Business",Anderson,64831,"McDonald "
"Access Family Care - Aurora","1810 South Carnation Drive",Aurora,65605,"Lawrence "
"ACCESS Family Care - Carthage (Dental)","215 E. 3rd Street",Carthage,64836,"Jasper "
"Access Family Care - Cassville","4016 Main Street",Cassville,65625,"Barry "
"Access Family Care - Cassville (Dental)","4016 Main Street",Cassville,62625,"Barry "
"Access Family Care - Corporate Office","475 Nelson Avenue",Neosho,64850,"Newton "
"Access Family Care - Joplin","530 South Maiden Lane",Joplin,64801,"Jasper "
"Access Family Care - Joplin (Dental)","530 S. Maiden Lane",Joplin,64801,"Jasper "
"Access Family Care - Joplin (OB/GYN)","530 S. Maiden Lane",Joplin,64801,"Jasper "
"Access Family Care - Joplin (Pediatrics)","530 S. Maiden Lane",Joplin,64801,"Jasper "
"Access Family Care - Lamar","210 West 10th Street",Lamar,64759,"Barton "
"Access Family Care - Neosho","412 East McKinney",Neosho,64850,"Newton "
"Access Family Care - Neosho Dental Clinic","516 West McCord",Neosho,64850,"Newton "
"Access Family Care - Nevada (Dental)","204 N. Cedar",Nevada,64772,"Vernon "
"Access Family Care Medical & Dental Clinic - Neosho","475 Nelson Avenue",Neosho,64850,"Newton "
"Access Teledentistry","7214 Executive Parkway","House Springs",63051,"Jefferson "
"Adair County R-I School District","600 Rombauer Avenue",Novinger,63559,"Adair "
"Adair County R-II School District","205 West Dewey",Brashear,63533,"Adair "
"Adrian R-III School District","601 North Houston Street",Adrian,64720,"Bates "
"Advance Medical Services ","3306 Brown Road","St. Louis",63114,"St. Louis "
"Advanced Senior Care","910 North College Avenue Suite 4",Columbia,65201,"Boone "
"AFA Academy/Howard Park Center","16375 Pierside Lane",Wildwood,63040,"St. Louis "
"Affinia Healthcare - Biddle","1717 Biddle Street","St. Louis",63106,"St. Louis city "
"Affinia Healthcare - Broadway","3930 South Broadway","St. Louis",63118,"St. Louis city "
"Affinia Healthcare - Florissant","4144 North Florissant","St. Louis",63107,"St. Louis "
"Affinia Healthcare - Hadley Street","2524 Hadley Street","St. Louis",63106,"St. Louis "
"Affinia Healthcare - Lemp Avenue","2220 Lemp Avenue","St. Louis",63104,"St. Louis city "
"Affinia Healthcare - The St. Louis Dental Education & Oral Health Clinic","1500 Park Avenue","St. Louis",63104,"St. Louis city "
"Affinia Healthcare (Administrative Office)","1717 Biddle St.","St. Louis",63106,"St. Louis city "
"Affinia Healthcare at Page Avenue","6763 Page Avenue","St. Louis",63133,"St. Louis city "
"Affinia Healthcare at Salvation Army Midtown Services and Treatment Center","3010 Washington Avenue","St. Louis",63103,"St. Louis city "
"Affinity Loss Management Services","7509 Northwest Tiffany Springs Parkway #200","Kansas City",64153,"Platte "
"Affton School District","7550 Mackenzie","St. Louis",63123,"St. Louis "
"After the Long Walk","500 South Whitestone Lane",Nixa,65714,"Christian "
"Agency For Teaching Leading and Learning","117 Park Central Square Suite 250",Springfield,65802,"Greene "
"Agency for Teaching Leading and Learning - National","901 South National PCOB 250",Springfield,65897,"Greene "
AGM,"10199 Woodfield Lane","St. Louis",63132,"St. Louis "
"AHEC Scholars","501 West Dodson Street",Kirksville,63501,"Adair "
"AIDS Project of the Ozarks","321 East 4th Street",Joplin,64801,"Jasper "
"AIDS Project of the Ozarks - Springfield","1636 South Glenstone Suite 100",Springfield,65804,"Greene "
"Alive & Well Communities","3407 South Jefferson Suite 6","St. Louis",63118,"St. Louis city "
"All Access Interpreters","8460 Watson Road Suite 220","St. Louis",63119,"St. Louis "
"All Saints Academy at St. Norbert","16475 New Halls Ferry Road",Florissant,63031,"St. Louis "
"Allergy & Asthma Foundation of America - St. Louis Chapter","1500 South Big Bend Suite 1S","St. Louis",63117,"St. Louis "
"Allergy & Athma Consultants of the Ozarks","601 West Nifong Building 2","Columbia ",65203,"Boone "
"Allergy Consultants PC","456 North New Ballas Road Suite 129","St. Louis",63141,"St. Louis "
"ALM Hopewell Center","5647 Delmar","St. Louis",63112,"St. Louis city "
"Alps Pharmacy","2650 West Kearney Street #116",Springfield,65803,"Greene "
"Alternative Community Training","2200 Burlington Street",Columbia,65202,"Boone "
"Alton R-IV School District","2180 School Street ",Alton,65606,"Oregon "
"American Cancer Society","4207 Lindell Boulevard","St. Louis",63108,"St. Louis city "
"American Liver Foundation Mid-America Division","9537 Cloverhurst Drive","St. Louis",63123,"St. Louis "
"American Lung Association","7745 Carondelet Avenue",Clayton,63105,"St. Louis "
"Andrew County Health Department","106 North 5th Street",Savannah,64485,"Andrew "
"Annapolis Family Clinic","202 Allen Street",Annapolis,63620,"Iron "
"Applegate Medical Group","125 East Lockling Avenue",Brookfield,64628,"Linn "
"Applied Behavior Services LLC.","8425 Mexico Road","St. Peters",63376,"St. Charles "
"Arcadia Valley R-II School District","700 Park Drive ",Ironton,63650,"Iron "
"Archdiocese of St. Louis","1465 South Grand Boulevard","St. Louis",63104,"St. Louis "
"Archdiocese of St. Louis Rural Parish Mobile Clinic","5047 Washington Place","St. Louis",63108,"St. Louis "
"Archie R-V School District","302 West State Route A",Archie,64725,"Cass "
"ARCHway Institute","803 Cardinal Street","Jefferson City",65101,"Cole "
"Arthur Center Community Health","340 Kelley Parkway",Mexico,65265,"Audrain "
"Arthur Center Community Health","321 W. Promenade",Mexico,65265,"Audrain "
"Arthur Center Community Health","581 Commons Drive",Fulton,65251,"Callaway "
"Arthur Center Community Health- Hope Center","1030 W. Teal Lake Road",Mexico,65265,"Audrain "
"Ascension Catholic Schools","238 Santa Maria Drive",Chesterfield,63017,"St. Louis "
"ASCENT Recovery Residences","1402 South Main Street",Joplin,64801,"Jasper "
"Asclepius Health and Metabolic Specialists","1001 West Daugherty Street","Webb City",64870,"Jasper "
"Ash Grove R-IV School District","100 Maple Lane","Ash Grove",65604,"Greene "
"Aspire Academy","5421 Thekla Avenue","St. Louis",63120,"St. Louis "
"Assisted Recovery Centers of America","1585 Woodlake Drive","Town and Country",63017,"St. Louis "
