name,streetaddress,city,state,zipcode,county,country,phone
"70 Flowers","Hristo Smirnenski 30/2 1000",Skopje,"North Macedonia ",,,US,"+389 (0) 78 270 767"
"A.T. Still University (ATSU)","800 West Jefferson Street",Kirksville,MO,63501,"Adair ",US,"(660) 626-2121"
"A.T. Still University AHEC Program Office","800 West Jefferson Street",Kirksville,MO,63501,"Adair ",US,"(660) 626-2887"
"Aaron E. Henry CHSC","800 Ohio Avenue",Clarksdale,MS,38614,"Coahoma County",US,"(662) 624-2504"
"AARP Foundation Senior Community Service Employment Program","1 West Armour Boulevard","Kansas City",MO,64111,"Clay ",US,"(816) 721-9771"
"AARTS Center - Rush University Medical Center","1645 West Jackson Suite 603",Chicago,IL,60612,"Cook County",US,"(312) 942-0819"
"Abbey Senior Health","206 North Main Street",O'Fallon,MO,63366,"St. Charles ",US,"(314) 960-1567"
"Ability KC","1020 East 12th Street","Kansas City",MO,64106,"Jackson ",US,816-751-7700
"Abraham Mallinson Independent School District","709 North Forest Avenue","Sugar Creek",MO,64054,"Jackson ",US,"(816) 521-5530"
"Academie Lafayette","3421 Cherry Street","Kansas City",MO,64109,"Jackson ",US,"(816) 888-7400"
"Accent Dental St. Louis","1405 South Hanley","St. Louis",MO,63144,"St. Louis city ",US,"(573) 808-3808"
"Access Alaska","1217 East 10th Avenue",Anchorage,AK,99501,"Anchorage County",US,"(907) 248-4777"
"Access Community Health Network","13000 Maple Avenue","Blue Island",IL,60406,"Cook County",US,"(708) 239-8065"
"Access Community Health Network - Howard Street","1555 West Howard Street",Chicago,IL,60626,"Cook County",US,"(773) 764-7146"
"Access Family Care - Anderson","927 North Business 71",Anderson,MO,64831,"McDonald ",US,"(417) 845-8300 "
"Access Family Care - Anderson (Dental)","927 N. Hwy 71 Business",Anderson,MO,64831,"McDonald ",US,4178452273
"Access Family Care - Aurora","1810 South Carnation Drive",Aurora,MO,65605,"Lawrence ",US,"(417) 678-1260"
"ACCESS Family Care - Carthage (Dental)","215 E. 3rd Street",Carthage,MO,64836,"Jasper ",US,4176742141
"Access Family Care - Cassville","4016 Main Street",Cassville,MO,65625,"Barry ",US,"(417) 847-0057"
"Access Family Care - Cassville (Dental)","4016 Main Street",Cassville,MO,62625,"Barry ",US,4178470057
"Access Family Care - Corporate Office","475 Nelson Avenue",Neosho,MO,64850,"Newton ",US,"(417) 451-9450"
"Access Family Care - Joplin","530 South Maiden Lane",Joplin,MO,64801,"Jasper ",US,"(417) 782-6200"
"Access Family Care - Joplin (Dental)","530 S. Maiden Lane",Joplin,MO,64801,"Jasper ",US,4177820080
"Access Family Care - Joplin (OB/GYN)","530 S. Maiden Lane",Joplin,MO,64801,"Jasper ",US,4177824625
"Access Family Care - Joplin (Pediatrics)","530 S. Maiden Lane",Joplin,MO,64801,"Jasper ",US,4176599100
"Access Family Care - Lamar","210 West 10th Street",Lamar,MO,64759,"Barton ",US,"(417) 681-0027"
"Access Family Care - Neosho","412 East McKinney",Neosho,MO,64850,"Newton ",US,"(417) 451-4447"
"Access Family Care - Neosho Dental Clinic","516 West McCord",Neosho,MO,64850,"Newton ",US,"(417) 451-0977"
"Access Family Care - Nevada (Dental)","204 N. Cedar",Nevada,MO,64772,"Vernon ",US,4175496845
"Access Family Care Medical & Dental Clinic - Neosho","475 Nelson Avenue",Neosho,MO,64850,"Newton ",US,"(417) 451-9450"
"Access Teledentistry","7214 Executive Parkway","House Springs",MO,63051,"Jefferson ",US,"(314) 594-7170"
"Adair County R-I School District","600 Rombauer Avenue",Novinger,MO,63559,"Adair ",US,"(660) 488-6411"
"Adair County R-II School District","205 West Dewey",Brashear,MO,63533,"Adair ",US,"(660) 323-5380"
"Addiction Treatment Services International","313 East Jimmie Leeds Road",Galloway,NJ,8205,,US,
"Adrian R-III School District","601 North Houston Street",Adrian,MO,64720,"Bates ",US,"(816) 297-2158"
"Advance Medical Services ","3306 Brown Road","St. Louis",MO,63114,"St. Louis ",US,"(314) 495-6414"
"Advanced Senior Care","910 North College Avenue Suite 4",Columbia,MO,65201,"Boone ",US,"(573) 268-5123"
"Advent Healthy Medical Group","7450 Kessler Street","Shawnee Mission",KS,66204,"Johnson County",US,"(785) 341-8236"
"Advocate Children's Hospital","4440 West 95th Street","Oak Lawn",IL,60453,"Cook County",US,"(708) 684-8000"
"Advocate Children's Hospital","5130 North Meridian Street",Indianapolis,IN,46208,Marion,US,
"Advocate Medical Group","2817 North Clark Street",Chicago,IL,60657,"Cook County",US,"(800) 323-8622"
"Advocates for Human Potential","1884 E Walnut St Unit B",Pasedan,CA,91107,,US,
Aeromd,"8000 Nisky Center","St. Thomas","Virgin Islands",802,"St. Thomas",US,"(405) 887-9500"
"AFA Academy/Howard Park Center","16375 Pierside Lane",Wildwood,MO,63040,"St. Louis ",US,5737955066
"Affinia Healthcare - Biddle","1717 Biddle Street","St. Louis",MO,63106,"St. Louis city ",US,"(314) 814-8585"
"Affinia Healthcare - Broadway","3930 South Broadway","St. Louis",MO,63118,"St. Louis city ",US,"(314) 814-8722"
"Affinia Healthcare - Florissant","4144 North Florissant","St. Louis",MO,63107,"St. Louis ",US,"(314) 814-8700"
"Affinia Healthcare - Hadley Street","2524 Hadley Street","St. Louis",MO,63106,"St. Louis ",US,"(314) 898-1700"
"Affinia Healthcare - Lemp Avenue","2220 Lemp Avenue","St. Louis",MO,63104,"St. Louis city ",US,"(314) 814-8680"
"Affinia Healthcare - The St. Louis Dental Education & Oral Health Clinic","1500 Park Avenue","St. Louis",MO,63104,"St. Louis city ",US,3148332700
"Affinia Healthcare (Administrative Office)","1717 Biddle St.","St. Louis",MO,63106,"St. Louis city ",US,3148148700
"Affinia Healthcare at Page Avenue","6763 Page Avenue","St. Louis",MO,63133,"St. Louis city ",US,3148148700
"Affinia Healthcare at Salvation Army Midtown Services and Treatment Center","3010 Washington Avenue","St. Louis",MO,63103,"St. Louis city ",US,3148148700
"Affinity Loss Management Services","7509 Northwest Tiffany Springs Parkway #200","Kansas City",MO,64153,"Platte ",US,"(816) 398-4114"
"Affton School District","7550 Mackenzie","St. Louis",MO,63123,"St. Louis ",US,"(314) 633-5975"
"After the Long Walk","500 South Whitestone Lane",Nixa,MO,65714,"Christian ",US,"(417) 616-9743"
"Agency For Teaching Leading and Learning","117 Park Central Square Suite 250",Springfield,MO,65802,"Greene ",US,"(417) 872-9390"
"Agency for Teaching Leading and Learning - National","901 South National PCOB 250",Springfield,MO,65897,"Greene ",US,"(417) 699-2119"
AGM,"10199 Woodfield Lane","St. Louis",MO,63132,"St. Louis ",US,"(314) 298-0023"
"AHEC Scholars","501 West Dodson Street",Kirksville,MO,63501,"Adair ",US,"(660) 349-5696"
"Aid to Adoption of Special Kids","2320 North 20th Street",Phoenix,AZ,85006,"Maricopa County",US,"(602) 254-2275"
