event_id,event_name,date,loction,who_exhibiting,fee,notes,go_again,touches,attendees,comments
1,"Missouri Society of the American College of Osteopathic Family Physicians - Winter Scientific Seminar ","January 26 & 27  2017","Hilton Garden Inn in Independence   MO",,850,"Set-up Jan. 20 from 3 to 5 or Jan. 21 from 7:30 to 9:00 a.m.  Mandatory exhibitor meeting at 9:00 a.m.  Exhibit from 9:30 to 10:00 ; 2:30 to 3:00.  Exhibit Jan. 22 from 9:30 to 10:00 ; 11:00 to 12:00.",,40,,
3,"NAMI Missouri Annual Meeting",,"Doubletree Hilton Hotel in Jefferson City",,,,,,,
2,"MONA 31st Annual Conference - MO Nurse Advocacy Day"," March 7  2017 ","Capitol Plaza Hotel   Jefferson City   MO",Lindsey,350,"Exhibiting hours will be open from 7:30 a.m. to 1:00 p.m.",No,,,"Lindsey commented:  Mainly students who took our give-aways.  Best not to attend again."
7,"Missouri Association of Rural Health Clinics","October 12-13  2017","Capitol Plaza Hotel   Jefferson City   MO",Lindsey,300,"Set-up 6:00 to 8:00 p.m. on Oct. 12th or 6:30 to 7:30 a.m. on 13th.  Exhibit opens at 7:30 a.m. first day and 9:30 a.m. 2nd day.    ",No,25,60,"Lindsey Commented:  Definitely would only do the first day if we do it again.  I had 2 people talk to me on the 2nd day and all they wanted was for me to sign off on their card that they stopped by."
21,"Missouri Crisis Intervention Team (CIT) Conference 2018","March 20  2018","Holiday Inn Executive Center   Columbia   MO",Misty,250,"Set-up begins Monday evening starting at 5:00 p.m. You can also set up the morning of Tuesday ; March 20th. Please note that people will begin to mingle in around 7-7:30 a.m. ; as we will have breakfast set up in the exhibit hall space starting at 7 a.m. ",No,140,500,"Misty commented:  This group is not our target audience ; so if budget is tight I would not do it."
13,"Missouri Society of the American College of Osteopathic Family Physicians - Winter Scientific Seminar ","January 24-25  2019","Hilton Garden Inn in Independence   MO","Treaka & Dean",,"Set-up 7:30 -9:00 a.m. on Thurs. Jan. 24th ; 9:00 a.m. mandatory exhibitor meeting.  Tear-down 10:00 to 10:30 a.m. on 25th.",,120,200,
19,"Missouri Coalition for Community Behavioral Healthcare","Sept. 15 & 16  2016","Hyatt Regency in St. Louis at The Arch","Misty & Candy",750,"Set-up 4:00 p.m. on Sept. 14.  Exhibit hours are 7:30 a.m.to 5:00 p.m. on Sept. 15 and 7:30 a.m. to 3:30 p.m. on Sept. 16.  Tear down is 3:30 on the 16th.",,160,913,
20,"Missouri Primary Care Association","Sept. 22 to 24  2016","Hilton Convention Center in Branson","Gwen ",650,"Set-up first day 10 to 12 ; exhibit 12 to 4:30 ; 10 to 3:30 2nd day ; 8 to 10:30 3rd day",,,251,
22,"28th Annual Saint Louis University Summer Geriatric Institute","June ?","Saint Louis University Health Sciences Center   Margaret McCormick Doisy Learning Resources Center   3545 Vista Avenue   St. Louis   Missouri 63104 ",,,"The building will be open at 6 a.m. and set up can begin any time after that.  Attendees begin arriving around 7 a.m.",,,,
23,"MO State Medical Association","March 23-24  2018","Renaissance St. Louis Airport Hotel",,1200,"Set-up from 3:30 to 6:00 on March 22.  Dismantle from 10:30 to 11:30 a.m. on March 24.",,,,
25,"Missouri Office of Primary Care and Rural Health Conference ","Nov. 15 & 16  2016","Hilton Garden Inn in Columbia","Gwen is attending",300,,,,,
26,"Common Childhood Problems Conference","May ?","WCH Health Pavilion",,0,,,,,
29,"2018 Missouri Nurses APRN Conference","April 26  2018","Holiday Inn Executive Center   Columbia   MO","Lindsey w/MBS as back-up.",350,"Exhibit hall will be open from 7:00 a.m. to 3:30 p.m.",,,,
30,"Missouri Association of Public Administrators (MAPA)","April 17  2019","Holiday Inn Executive Center   Columbia   MO",Treaka,300,,,,,
35,"MO Medical Group Management Association (MO MGMA)","May 6-8  2020","Hilton Branson Convention Center",,1500,"Not going.  Rachel said the folks who attend are not decision makers.",,,,
36,"State Fair","August 11-21 2016",,"Not exhibiting",,,,,,
38,"Caring for the Frail Elderly","August 19 & 20  2016","Holiday Inn Select","Misty (MBS to help)",100,"Exhibits open 10 to 12 ; 2:40 to 3:00 first day and 7:15 to 8 ; 10:40 to 11 ; 12 to 1 on second day.",,55,,
39,"Missouri Chapter of American College of Physicians Meeting","Sept. 16 & 17  2016",Tan-Tar-A,"Gwen ",1000,"Set-up Sept. 15th.  Exhibit opens 7:00 a.m. on Sept. 16th and closes 10:00 a.m. on Sept. 17th.",,,,
40,"Missouri Institute on Minority Aging","August 23 & 24  2016","Capitol Plaza Hotel & Convention Center","Misty & MBS",75,"Set-up 1:00 to 3:00 ; exhibits open at 3:00 on first day.  Exhibit from 12:15 to 12:35 ; 4:30 to 5:00. Tear down after 5:00 on second day.",,65,,
43,"Psychiatric-Mental Health Update - School of Nursing","Nov. 4  2016","Peachtree Banquet Center","Mary Beth",250,"Set-up 7:00 a.m.  Exhibit 7:30 to 8:15 a.m. ; 9:45 - 10:00 a.m. ; 12:05 to 1:00 p.m. ; 2:30 to 2:45 p.m.",,40,83,"MBS commented:  Good exhibit considering it was small."
45,"Missouri Hospital Association","Nov. 2 & 3  2016",Tan-Tar-A,Gwen,850,"Set-up first day 8:00 to 3:00 ; exhibit 3:00 to 7:00 1st day ; 7:00 to 11:00 2nd day",,,1092,"Gwen commented:  Great contacts and well worth our time and money. Lot of follow-up!"
46,"Missouri Academy of Physician Assistant Conference (MOAPA)","Nov. 11-13  2020","Hilton Branson Convention Center   Branson",,750,"Date has changed from July 9-11 to Nov. 11-13 ; 2020.",,,,
48,"Missouri Chapter of American College of Physicians Meeting","Sept. 15-16  2017","Tan-Tar-A in Osage Beach",,1000,,,,,
49,"Clinical Advances in Pediatrics Symposium (CAPS)","Sept. 21 & 22  2016","Children's Mercy Park - Kansas City   KS",Misty,1500,"Set-up first day 2:00 to 4:30 ; exhibit 4:30 to 6:30 ; 7:15 to 2:45 2nd day ; tear down 2:45 to 3:30.",,15,,"Misty commented:  If we could get on the agenda to speak I think we would be better off)  No exhibit space ; very educational and good for providers.  If we had to cut one this would be the one I suggest."
145,"Midwest Trauma Conference - Traumatic Stress: Relationships & Resiliency","March 28  2019","Doubletree in Chesterfield","Treaka (only one exhibitor)",,,,,,
61,"Caring for the Frail Elderly","August 16  2019","Holiday Inn Executive Center   Columbia   MO","Mary Beth",125,"Exhibits open 10 to 12 ; 2:40 to 3:00.",No,35,197,"There were probably never more than 20 people in the room with the exhibitors.  People didn’t even come in there to eat lunch.  I would say 75% of the box lunches were leftover.  I walked by the room where the presenters were and the room was full ; so not so sure this one is worth our time."
58,"Caring for the Frail Elderly","August 17  2018","Holiday Inn Executive Center   Columbia   MO",Lindsey,125,"Exhibits open 10 to 12 ; 2:40 to 3:00.",,,,
62,"MO Center for Nursing Annual Summit","June 5-6  2019","Courtyard Marriott - Columbia",Treaka/Dean,850,"Exhibit Setup: Wednesday ; June 5 1:30 p.m. Exhibit Hours: Wednesday ; June 5 2:45 – 3:15 p.m. 5:00 – 8:00 p.m. Thursday ; June 6 7:00 – 8:00 a.m. 9:00 – 9:15 a.m.",,50,70,"The  touches and the contacts that were made were pretty good.  However ; the conference was a bit expensive and they claimed there would be 200 in attendance.  In reality there were only about 70 in attendance.   They did have an incentive to encourage folks stop by booths ; and I believe we were able to inform numerous folks about the program who otherwise would not have stopped by."
67,"MO-CASE Conference","Sept. 23-24  2018","Tan-Tar-A in Osage Beach",Lindsey,330,"Exhibit set-up 8:00 to 11:30 am on the 23rd.  Exhibit times are 12:00 - 6:30 on 23rd ; 7:00 to 4:30 on 24th.  Tear down is 4:30 to 6:30.",,,,
